,XVal,YVal,ZVal
616,-6.86,-7.45,-1.47
617,-6.86,-7.45,-1.47
618,-6.96,-7.45,-1.47
619,-6.86,-7.45,-1.47
620,-6.96,-7.26,-1.57
621,-6.96,-7.45,-1.47
622,-6.96,-7.45,-1.47
623,-6.86,-7.45,-1.57
624,-6.96,-7.45,-1.47
625,-6.96,-7.45,-1.47
626,-6.96,-7.45,-1.47
627,-6.96,-7.45,-1.57
628,-6.96,-7.45,-1.57
629,-6.96,-7.45,-1.47
630,-6.96,-7.45,-1.47
631,-6.96,-7.45,-1.47
632,-6.96,-7.45,-1.47
633,-6.96,-7.45,-1.47
634,-6.86,-7.45,-1.47
635,-6.96,-7.45,-1.47
636,-6.96,-7.45,-1.57
637,-6.86,-7.45,-1.47
638,-6.86,-7.45,-1.47
639,-6.96,-7.45,-1.47
640,-6.96,-7.45,-1.47
641,-6.86,-7.45,-1.47
642,-6.86,-7.45,-1.47
643,-6.86,-7.45,-1.47
644,-6.86,-7.45,-1.47
645,-6.96,-7.45,-1.47
646,-6.86,-7.45,-1.57
647,-6.86,-7.45,-1.47
648,-6.96,-7.45,-1.47
649,-6.86,-7.45,-1.57
650,-6.96,-7.45,-1.47
651,-6.96,-7.45,-1.47
652,-6.86,-7.45,-1.57
653,-6.86,-7.45,-1.47
654,-6.86,-7.45,-1.57
655,-6.86,-7.45,-1.47
656,-6.86,-7.26,-1.47
657,-6.86,-7.45,-1.47
658,-6.86,-7.45,-1.47
659,-6.86,-7.45,-1.47
660,-6.86,-7.45,-1.47
661,-6.86,-7.45,-1.47
662,-6.96,-7.45,-1.57
663,-6.86,-7.45,-1.67
664,-6.96,-7.45,-1.57
665,-6.86,-7.45,-1.47
666,-6.86,-7.45,-1.47
667,-6.96,-7.45,-1.57
668,-6.96,-7.45,-1.57
669,-6.96,-7.45,-1.57
670,-6.96,-7.45,-1.47
671,-6.96,-7.45,-1.47
672,-6.96,-7.45,-1.57
673,-6.86,-7.45,-1.57
674,-6.96,-7.45,-1.57
675,-6.96,-7.45,-1.57
676,-6.96,-7.45,-1.57
677,-6.96,-7.45,-1.47
678,-6.96,-7.45,-1.47
679,-6.96,-7.45,-1.47
680,-6.96,-7.45,-1.47
681,-6.96,-7.45,-1.47
682,-6.86,-7.45,-1.47
683,-6.86,-7.45,-1.47
684,-6.96,-7.45,-1.57
685,-6.96,-7.45,-1.57
686,-6.96,-7.45,-1.47
687,-6.96,-7.45,-1.47
688,-6.96,-7.45,-1.47
689,-6.86,-7.45,-1.47
690,-6.96,-7.45,-1.47
691,-6.86,-7.45,-1.57
692,-6.96,-7.45,-1.57
693,-6.96,-7.45,-1.47
694,-6.96,-7.45,-1.47
695,-6.96,-7.45,-1.57
696,-6.96,-7.45,-1.57
697,-6.96,-7.45,-1.47
698,-6.96,-7.45,-1.57
699,-6.86,-7.45,-1.57
700,-6.96,-7.45,-1.47
701,-6.96,-7.45,-1.47
702,-6.96,-7.45,-1.47
703,-6.86,-7.45,-1.57
704,-6.96,-7.45,-1.47
705,-6.96,-7.45,-1.47
706,-6.96,-7.45,-1.47
707,-6.96,-7.45,-1.47
708,-6.96,-7.45,-1.47
709,-6.96,-7.45,-1.57
710,-6.96,-7.45,-1.47
711,-6.96,-7.45,-1.57
712,-6.96,-7.45,-1.47
713,-6.86,-7.45,-1.47
714,-6.96,-7.45,-1.47
715,-6.96,-7.45,-1.47
716,-6.96,-7.45,-1.47
717,-6.96,-7.45,-1.47
718,-6.96,-7.45,-1.47
719,-6.96,-7.45,-1.47
720,-6.96,-7.45,-1.47
721,-6.86,-7.45,-1.47
722,-6.86,-7.45,-1.47
723,-6.86,-7.45,-1.57
724,-6.96,-7.45,-1.57
725,-6.96,-7.26,-1.57
726,-6.96,-7.26,-1.57
727,-6.96,-7.45,-1.67
728,-6.96,-7.45,-1.47
729,-6.96,-7.26,-1.47
730,-6.96,-7.45,-1.47
731,-6.96,-7.45,-1.47
732,-6.96,-7.45,-1.47
733,-6.96,-7.45,-1.47
734,-6.96,-7.45,-1.47
735,-6.96,-7.45,-1.47
736,-6.96,-7.45,-1.47
737,-6.96,-7.45,-1.47
738,-6.86,-7.45,-1.47
739,-6.86,-7.45,-1.47
740,-6.96,-7.45,-1.47
741,-6.96,-7.45,-1.47
742,-6.96,-7.45,-1.47
743,-6.96,-7.45,-1.47
744,-6.96,-7.45,-1.47
745,-6.96,-7.45,-1.47
746,-6.96,-7.45,-1.47
747,-6.86,-7.45,-1.47
748,-6.96,-7.45,-1.47
749,-6.96,-7.45,-1.47
750,-6.96,-7.45,-1.47
751,-6.96,-7.45,-1.47
752,-6.96,-7.45,-1.57
753,-6.96,-7.45,-1.47
754,-6.96,-7.45,-1.47
755,-6.96,-7.45,-1.47
756,-6.96,-7.45,-1.47
757,-6.96,-7.45,-1.57
758,-6.96,-7.45,-1.47
759,-6.96,-7.45,-1.67
760,-6.96,-7.45,-1.47
761,-6.96,-7.45,-1.47
762,-6.96,-7.45,-1.47
763,-6.86,-7.45,-1.47
764,-6.96,-7.45,-1.47
765,-6.96,-7.45,-1.47
766,-6.86,-7.45,-1.57
767,-6.86,-7.55,-1.57
768,-6.86,-7.45,-1.47
769,-6.96,-7.45,-1.57
770,-6.86,-7.45,-1.57
771,-6.86,-7.45,-1.57
772,-6.86,-7.45,-1.57
773,-6.96,-7.45,-1.57
774,-6.96,-7.45,-1.57
775,-6.86,-7.45,-1.57
776,-6.96,-7.45,-1.57
777,-6.96,-7.45,-1.47
778,-6.86,-7.45,-1.47
779,-6.86,-7.45,-1.47
780,-6.86,-7.45,-1.47
781,-6.86,-7.45,-1.57
782,-6.96,-7.45,-1.47
783,-6.86,-7.45,-1.47
784,-6.96,-7.45,-1.47
785,-6.96,-7.45,-1.47
786,-6.96,-7.45,-1.47
787,-6.96,-7.45,-1.47
788,-6.96,-7.45,-1.57
789,-6.96,-7.45,-1.47
790,-6.96,-7.45,-1.47
791,-6.96,-7.45,-1.47
792,-6.96,-7.45,-1.47
793,-6.96,-7.45,-1.47
794,-6.96,-7.45,-1.47
795,-6.96,-7.45,-1.47
796,-6.96,-7.45,-1.47
797,-6.96,-7.45,-1.47
798,-6.96,-7.26,-1.47
799,-6.96,-7.26,-1.47
800,-6.96,-7.45,-1.57
801,-6.96,-7.45,-1.57
802,-6.96,-7.45,-1.47
803,-6.86,-7.45,-1.47
804,-6.96,-7.45,-1.47
805,-6.96,-7.45,-1.47
806,-6.96,-7.45,-1.47
807,-6.96,-7.45,-1.47
808,-6.96,-7.45,-1.47
809,-6.96,-7.45,-1.47
810,-6.96,-7.26,-1.47
811,-6.96,-7.45,-1.47
812,-6.96,-7.45,-1.47
813,-6.96,-7.45,-1.47
814,-6.96,-7.45,-1.47
815,-6.96,-7.45,-1.47
816,-6.96,-7.26,-1.47
817,-6.96,-7.45,-1.47
